time,label
138.528528,110
150.21165699999997,111
158.556749,112
165.232822,113
171.90889599999997,114
176.91595099999998,115
183.59202499999998,116
191.937117,117
196.94417199999995,118
201.95122700000002,119
208.627301,1110
231.99355899999995,120
242.00766899999996,121
247.014724,122
252.02177999999998,123
255.359816,124
260.366872,125
265.373927,126
270.380982,127
275.388037,128
278.726074,129
283.73312899999996,1210
303.76134999999994,130
308.76840599999997,131
313.77546099999995,132
317.113498,133
323.78957099999997,134
328.79662599999995,135
333.803682,136
338.810737,137
343.81779200000005,138
348.824847,139
352.162884,1310
392.2193259999999,140
402.233436,141
405.57147299999997,142
410.578528,143
415.585584,144
420.59263899999996,145
425.59969399999994,146
430.6067489999999,147
435.61380499999996,148
440.62085999999994,149
445.6279149999999,1410
479.008283,150
485.6843569999999,151
489.02239399999996,152
492.36042999999995,153
497.367486,154
502.3745409999999,155
507.38159600000006,156
510.71963299999993,157
514.05767,158
517.3957069999999,159
520.733743,1510
570.804296,210
575.1423319999999,211
578.480369,212
582.487424601,213
589.163498,214
594.1705529999999,215
600.8466269999999,216
605.8536819999999,217
610.860737,218
617.536811,219
620.8748479999999,2110
645.910124,220
649.248161,221
655.9242339999998,222
660.2622709999999,223
663.600308,224
667.6073629999999,225
670.9453999999998,226
675.283437,227
678.621474,228
682.628529,229
685.9665659999998,2210
727.6920259999999,230
734.3680999999999,231
737.7061359999999,232
744.38221,233
747.7202469999999,234
752.727302,235
759.4033759999999,236
766.0794489999998,237
772.7555229999999,238
779.431597,239
786.1076699999999,2310
822.8260749999997,240
834.509204,241
841.1852779999999,242
847.861351,243
854.5374249999999,244
862.882517,245
867.889572,246
872.896628,247
877.903683,248
884.579756,249
891.2558299999998,2410
924.636198,250
929.6432529999998,251
934.6503089999999,252
939.6573639999999,253
944.664419,254
949.671474,255
954.6785299999998,256
959.685585,257
964.3616579999998,258
969.368714,259
972.70675,2510
1033.1223949999999,310
1044.8055239999999,311
1051.4815969999997,312
1054.819634,313
1059.826689,314
1063.1647259999997,315
1068.171781,316
1073.178837,317
1076.5168729999998,318
1080.85491,319
1084.192947,3110
1103.221168,320
1109.897242,321
1114.9042969999998,322
1118.242334,323
1123.249389,324
1126.5874259999998,325
1131.9254620000002,326
1134.9325179999998,327
1138.270554,328
1142.6085910000002,329
1147.6156461629998,3210
1169.981904,330
1174.9889589999998,331
1178.326996,332
1183.3340509999998,333
1186.6720879999998,334
1190.0101249999998,335
1195.0171799999998,336
1201.6932539999998,337
1210.038346,338
1215.0454009999999,339
1221.7214749999998,3310
1261.777917,340
1270.123009,341
1275.130064,342
1280.137119,343
1288.4822109999998,344
1293.4892659999998,345
1298.496322,346
1303.503377,347
1308.510432,348
1316.8555239999996,349
1321.862579,3410
1351.904911,350
1356.9119660000001,351
1361.919021,352
1366.9260759999997,353
1371.933132,354
1376.940187,355
1381.947242,356
1386.9542969999998,357
1391.961353,358
1398.637426,359
1403.6444809999998,3510
107.165898,ref1
561.778464,ref2
1028.186019,ref3
1491.560578,s1
1518.8575520000002,t1
1541.43653,s2
1562.6675100000002,t2
1595.356479,s3
1617.2614580000002,t37